#-----------------------------------------------------------
# xsim v2021.2 (64-bit)
# SW Build 3367213 on Tue Oct 19 02:48:09 MDT 2021
# IP Build 3369179 on Thu Oct 21 08:25:16 MDT 2021
# Start of session at: Fri May  1 23:16:18 2026
# Process ID: 25864
# Current directory: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim
# Command line: xsim.exe -log simulate_official_plus_beq_trace.log -mode tcl -source {xsim.dir/tb_official_plus_behav/xsim_script.tcl}
# Log file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim/simulate_official_plus_beq_trace.log
# Journal file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim\xsim.jou
# Running On: WDDdLaptop, OS: Windows, CPU Frequency: 3194 MHz, CPU Physical cores: 16, Host memory: 16366 MB
#-----------------------------------------------------------
source xsim.dir/tb_official_plus_behav/xsim_script.tcl
# xsim {tb_official_plus_behav} -autoloadwcfg -tclbatch {run_all_coremark.tcl}
Time resolution is 1 ps
source run_all_coremark.tcl
## run all
WARNING: This core is supplied with a behavioral model. To model cycle-accurate behavior you must run timing simulation.
>>> Reset released, official test starts. mem=                                                                                                               official_test.mem
TRACE[128] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[129] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[130] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[131] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[132] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[133] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[134] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[135] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[136] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[137] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[138] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[139] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[140] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[141] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[142] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[143] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[144] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[145] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[146] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[147] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[148] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[149] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[150] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[151] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[152] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[153] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[154] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[155] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[156] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[157] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[158] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[159] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[160] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[161] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[162] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[163] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[164] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[165] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[166] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[167] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[168] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[169] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[170] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[171] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[172] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[173] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[174] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[175] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[176] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[177] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[178] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[179] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[180] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[181] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
